19
Norway 5305383
Denmark 5733551
Iceland 335025
Switzerland 8476005
Finland 5523231
Netherlands 17035938
Canada 36624199
New Zealand 4705818
Sweden 9910701
Australia 24450561
Israel 8321570
Costa Rica 4905769
Austria 8735453
United States 324459463
Ireland 4761657
Germany 82114224
Belgium 11429336
Luxembourg 583455
United Kingdom 66181585
